AdventuresOfRobinHood.slave;AdventuresOfRobinHood;Adventure / Isometric;Adventures of Robin Hood, The;Adventures of Robin Hood;AdventuresOfRobinHood.info;AdventuresOfRobinHood_v1.1.lha
AdventuresOfWillyBeamish.slave;AdventuresOfWillyBeamish;Adventure / Point & Click;Adventures of Willy Beamish, The;Adv of Willy Beamish;AdventuresOfWillyBeamish.info;AdventuresOfWillyBeamish_v1.2_1814.lha
AfricanRaiders01.slave;AfricanRaiders01;Racing / Car / Chase View;African Raiders-01;African Raiders-01;AfricanRaiders01.info;AfricanRaiders01_v1.01_1169.lha
AfterBurner.Slave;AfterBurner;Action / Shooter / 3D;After Burner (Activision);After Burner - Activision;AfterBurner.info;AfterBurner_v1.0_0095.lha
AfterBurnerNTSC.slave;AfterBurnerNTSC;Action / Shooter / 3D;After Burner (Sega) (NTSC);After Burner - Sega US;AfterBurnerNTSC.info;AfterBurner_v1.4a_NTSC_0947.lha
AfterTheWar.Slave;AfterTheWar;Action / Shooter / 2D;After The War;After The War;AfterTheWar.info;AfterTheWar_v1.3_1084.lha
Agony.slave;Agony;Action / Shooter / Horizontal;Agony;Agony;Agony.info;Agony_v2.1_0960.lha
AgonyDemo.slave;AgonyDemo;Action / Shooter / Horizontal;Agony (Game Demo);Agony Demo;AgonyDemo.info;AgonyDemo_v1.1.lha
AgonyNTSC.slave;AgonyNTSC;Action / Shooter / Horizontal;Agony (NTSC);Agony US;AgonyNTSC.info;Agony_v2.1_NTSC_2701.lha
AigleDOr512kFr.Slave;AigleDOr512kFr;Action / Fighter 2D;Aigle D'Or - Le Retour (512KB) (French);Aigle D'Or 512kFr;AigleDOr512kFr.info;AigleDOr_v1.2_512k_Fr_2600.lha
AigleDOrFr.Slave;AigleDOrFr;Action / Fighter 2D;Aigle D'Or - Le Retour (French);Aigle DOr - Le Retour Fr;AigleDOrFr.info;AigleDOr_v1.2_Fr_2600.lha
AirSupply.slave;AirSupply;Action / Shooter / Vertical;Air Supply;Air Supply;AirSupply.info;AirSupply_v1.0.lha
AirSupport.Slave;AirSupport;Strategy / Battle / 3D;Air Support;Air Support;AirSupport.info;AirSupport_v1.2_1320.lha
AirSupport512k.Slave;AirSupport512k;Strategy / Battle / 3D;Air Support (512KB);Air Support 512k;AirSupport512k.info;AirSupport_v1.2_512k_1320.lha
AirSupportNTSC.Slave;AirSupportNTSC;Strategy / Battle / 3D;Air Support (NTSC);Air Support US;AirSupportNTSC.info;AirSupport_v1.2_NTSC_1325.lha
AirSupport512kNTSC.Slave;AirSupport512kNTSC;Strategy / Battle / 3D;Air Support (NTSC) (512KB);Air Support 512kUS;AirSupport512kNTSC.info;AirSupport_v1.2_512k_NTSC_1325.lha
Airball.Slave;Airball;Adventure / Action;Airball;Airball;Airball.info;Airball_v1.2_3034.lha
AirborneRanger.Slave;AirborneRanger;Strategy / Battle / 2D;Airborne Ranger;Airborne Ranger;AirborneRanger.info;AirborneRanger_v1.1_0100.lha
Akira.slave;Akira;Action / Multi Level;Akira;Akira;Akira.info;Akira_v1.3.lha
AkiraCD32.slave;AkiraCD32;Action / Multi Level;Akira (CD32);Akira CD32;AkiraCD32.info;Akira_v1.3_CD32.lha
aladdinaga.slave;AladdinAGA;Platform / Action;Aladdin (AGA);Aladdin AA;AladdinAGA.info;Aladdin_v1.8_AGA_0420.lha
AladdinsMagicLamp.slave;AladdinsMagicLamp;Action / Shooter / Horizontal;Aladdin's Magic Lamp;Aladdin's Magic Lamp;AladdinsMagicLamp.info;AladdinsMagicLamp_v1.0.lha
AlbedoFr.slave;AlbedoFr;Action / Shooter / 2D;Albedo (French);Albedo Fr;AlbedoFr.info;Albedo_v1.0_Fr.lha
Alcatraz.slave;Alcatraz;Action / Multi Level;Alcatraz;Alcatraz;Alcatraz.info;Alcatraz_v1.3_2073.lha
Alchemy.Slave;Alchemy;Demo;Alchemy (Rage);Alchemy;Alchemy.info;Alchemy_v1.0_Rage.lha
AlchemyDemo.Slave;AlchemyDemo;Platform / Action;Alchemy - Mine Level (Game Demo);Alchemy Mine Demo;AlchemyDemoMine.info;AlchemyDemo_v1.0.lha
AlfabetSmierciAGAPl.Slave;AlfabetSmierciAGAPl;Adventure / Graphic;Alfabet Smierci (AGA) (Polish);Alfabet Smierci AAPl;AlfabetSmierciAGAPl.info;AlfabetSmierci_v1.0a_AGA_Pl.lha
AlfredChicken.Slave;AlfredChicken;Platform / Action;Alfred Chicken;Alfred Chicken;AlfredChicken.info;AlfredChicken_v1.0_0422.lha
AlfredChickenAGA.slave;AlfredChickenAGA;Platform / Action;Alfred Chicken (AGA);Alfred Chicken AA;AlfredChickenAGA.info;AlfredChicken_v1.01_AGA_0623.lha
AlfredChickenCD32.slave;AlfredChickenCD32;Platform / Action;Alfred Chicken (CD32);Alfred Chicken CD32;AlfredChickenCD32.info;AlfredChicken_v1.01_CD32.lha
AlfredTheMusicDisk.slave;AlfredTheMusicDisk;Demo / Music Disk;Alfred The Music Disk (Relay);Alfred The Music Disk;AlfredTheMusicDisk.info;AlfredTheMusicDisk_v1.01_Relay.lha
Algebra.Slave;Algebra;Demo;Algebra (Dragon Stone);Algebra;Algebra.info;Algebra_v1.0_DragonStone.lha
Alianator.Slave;Alianator;Action / Shooter / 3D;Alianator (Coverdisk);Alianator;Alianator.info;Alianator_v1.0_1905.lha
AlienBash.Slave;AlienBash;Action / Shooter / Multi Way;Alien Bash (Coverdisk);Alien Bash;AlienBash.info;AlienBash_v1.0.lha
AlienBash2.slave;AlienBash2;Action / Shooter / Multi Way;Alien Bash 2 (Coverdisk);Alien Bash 2;AlienBash2.info;AlienBash2_v1.2.lha
